0	18	765
0	36	3045
0	70	2968
0	73	1593
0	102	860
0	135	1543
0	137	10454
0	145	813
0	151	3505
0	155	2898
0	171	1745
0	175	3593
0	196	922
0	197	553
0	206	459
0	239	1744
0	251	9464
0	268	543
0	351	881
0	365	4077
0	374	894
0	397	1971
0	427	3320
0	432	531
0	438	3373
0	447	8591
0	448	461
0	461	1476
0	481	12535
0	483	3775
0	502	1689
2	3	827
2	6	612
2	8	962
2	12	799
2	38	797
2	102	720
2	103	531
2	117	329
2	135	997
2	136	321
2	145	965
2	155	336
2	175	585
2	193	398
2	196	628
2	206	726
2	239	505
2	268	1211
2	274	531
2	279	447
2	297	774
2	359	311
2	373	766
2	374	776
2	397	362
2	411	352
2	420	748
2	427	1136
2	438	818
2	461	489
2	463	672
2	467	586
2	483	792
3	2	827
3	4	371
3	6	2325
3	12	2053
3	18	4660
3	34	1168
3	36	7653
3	38	8790
3	39	3007
3	57	1611
3	73	355
3	78	747
3	83	960
3	100	671
3	102	10423
3	111	4505
3	117	6837
3	119	262
3	121	5215
3	123	285
3	130	945
3	135	7462
3	136	5777
3	140	1189
3	145	16884
3	155	3626
3	171	14432
3	175	13770
3	176	2718
3	181	628
3	187	799
3	193	14129
3	196	5611
3	197	9019
3	201	903
3	206	7156
3	231	9278
3	239	6341
3	246	406
3	249	7940
3	268	7354
3	274	737
3	279	527
3	332	2211
3	344	1018
3	359	1576
3	362	2576
3	364	1558
3	365	291
3	368	2473
3	373	1512
3	374	16077
3	404	1517
3	411	3953
3	424	451
3	427	14773
3	438	4321
3	443	558
3	447	2156
3	453	360
3	461	16089
3	463	2808
3	467	4530
3	483	3707
3	486	511
3	500	1153
4	3	371
4	18	630
4	38	582
4	39	790
4	55	602
4	57	461
4	69	443
4	102	998
4	103	425
4	111	694
4	117	587
4	135	961
4	137	544
4	145	1184
4	171	1061
4	175	572
4	178	701
4	193	637
4	196	587
4	197	422
4	206	422
4	231	612
4	239	412
4	268	628
4	297	804
4	362	315
4	373	446
4	374	1022
4	397	418
4	411	308
4	427	588
4	432	353
4	438	650
4	461	1328
4	467	400
6	2	612
6	3	2325
6	12	2379
6	18	972
6	34	1490
6	35	538
6	36	2824
6	38	1925
6	55	1921
6	57	1554
6	73	504
6	102	4182
6	108	2471
6	123	259
6	130	992
6	135	989
6	140	918
6	142	288
6	145	2765
6	155	1817
6	171	4197
6	175	1808
6	181	926
6	193	3280
6	196	1637
6	197	2833
6	206	2347
6	231	3062
6	239	2442
6	249	1171
6	268	3257
6	274	1191
6	354	761
6	374	3664
6	394	731
6	397	1447
6	408	1462
6	411	1785
6	427	2928
6	438	2040
6	447	950
6	461	1800
6	467	1040
6	470	1090
6	483	1846
6	486	946
8	2	962
8	12	1316
8	18	1205
8	36	1688
8	38	2658
8	39	788
8	55	933
8	70	1196
8	102	1875
8	130	391
8	135	1320
8	136	847
8	145	3294
8	155	1433
8	171	2204
8	175	3300
8	181	516
8	193	2429
8	196	1326
8	206	1465
8	215	725
8	231	1813
8	239	1786
8	246	694
8	268	1405
8	279	1034
8	332	1378
8	354	935
8	368	758
8	374	3814
8	397	1408
8	408	1379
8	427	2973
8	438	1837
8	448	2096
8	461	1267
8	463	1868
8	467	1552
8	483	1306
8	502	1025
12	2	799
12	3	2053
12	6	2379
12	8	1316
12	18	779
12	34	1327
12	36	976
12	38	1560
12	39	958
12	100	966
12	102	3247
12	108	943
12	117	1752
12	121	821
12	123	748
12	125	1003
12	130	805
12	135	1468
12	136	1522
12	142	292
12	145	2930
12	171	2733
12	175	785
12	176	1274
12	181	873
12	193	1155
12	196	875
12	197	1932
12	198	1080
12	215	681
12	231	1604
12	239	1200
12	268	1663
12	274	1140
12	279	1510
12	354	691
12	373	1478
12	374	3403
12	397	785
12	427	2044
12	438	1725
12	443	1367
12	461	1540
12	470	1776
12	500	774
18	0	765
18	3	4660
18	4	630
18	6	972
18	8	1205
18	12	779
18	36	9281
18	38	19526
18	39	7372
18	55	8122
18	57	950
18	69	475
18	70	1099
18	73	325
18	78	279
18	81	2768
18	83	1163
18	100	1236
18	102	18151
18	108	2316
18	111	5385
18	117	6106
18	119	547
18	121	6885
18	130	429
18	135	24038
18	136	4056
18	140	1771
18	145	26364
18	155	8225
18	171	27499
18	175	41495
18	176	2979
18	178	1848
18	183	627
18	187	438
18	193	24770
18	196	18550
18	197	13733
18	201	2663
18	206	17572
18	215	847
18	231	20322
